"id","name","cr","type","size","ac","hp","speed","align","legendary","str","dex","con","int","wis","cha","proficiency_bonus","xp"
"508","owlbear",3,"monstrosity",1,13,59,"","unaligned",0,20,12,17,3,12,7,2,700
"509","panther",0.25,"beast",0,12,13,"","unaligned",0,14,15,10,3,14,7,2,50
"510","pegasus",2,"celestial",1,12,59,"fly","chaotic good",0,18,15,16,10,15,13,2,450
"512","peryton",2,"monstrosity",0,13,33,"fly","chaotic evil",0,16,12,13,9,12,10,2,450
"513","phase-spider",3,"monstrosity",1,13,32,"","unaligned",0,15,15,12,6,10,6,2,700
"515","piercer",0.5,"monstrosity",0,15,22,"","unaligned",0,10,13,16,1,7,3,2,100
"516","pit-fiend",20,"fiend (devil)",1,19,300,"fly","lawful evil",0,26,14,24,22,18,24,6,25000
"518","planetar",16,"celestial",1,19,200,"fly","lawful good",0,24,20,24,19,22,25,5,15000
"519","plesiosaurus",2,"beast",1,13,68,"swim","unaligned",0,18,15,16,2,12,5,2,450
"520","poisonous-snake",0.125,"beast",0,13,2,"swim","unaligned",0,2,16,11,1,10,3,2,25
"521","polar-bear",2,"beast",1,12,42,"swim","unaligned",0,20,10,16,2,13,7,2,450
"522","pony",0.125,"beast",0,10,11,"","unaligned",0,15,10,13,2,11,7,2,25
"523","priest",2,"humanoid (any race)",0,13,27,"","any alignment",0,10,10,12,13,16,13,2,450
"524","pseudodragon",0.25,"dragon",0,13,7,"fly","neutral good",0,6,15,13,10,12,10,2,50
"526","pteranodon",0.25,"beast",0,13,13,"fly","unaligned",0,12,15,10,2,9,5,2,50
"527","purple-worm",15,"monstrosity",1,18,247,"","unaligned",0,28,7,22,1,8,4,5,13000
"532","quasit",1,"fiend (demon, shapechanger)",0,13,7,"","chaotic evil",0,5,17,10,7,10,10,2,200
"533","quetzalcoatlus",2,"beast",1,13,30,"fly","unaligned",0,15,13,13,2,10,5,2,450
"535","quipper",0,"beast",0,13,1,"swim","unaligned",0,2,16,9,1,7,2,2,10
"536","rakshasa",13,"fiend",0,16,110,"","lawful evil",0,14,17,18,13,16,20,5,10000
"537","rat",0,"beast",0,10,1,"","unaligned",0,2,11,9,2,10,4,2,10
"538","raven",0,"beast",0,12,1,"fly","unaligned",0,2,14,8,2,12,6,2,10
"541","red-dragon-wyrmling",4,"dragon",0,17,75,"fly","chaotic evil",0,19,10,17,12,11,15,2,1100
"544","reef-manta-ray",0.5,"beast",1,12,16,"swim","unaligned",0,13,12,12,1,12,4,2,100
"545","reef-shark",0.5,"beast",0,12,22,"swim","unaligned",0,14,13,13,1,10,4,2,100
"546","remorhaz",11,"monstrosity",1,17,195,"","unaligned",0,24,13,21,4,10,5,4,7200
"548","revenant",5,"undead",0,13,136,"","neutral",0,18,14,18,13,16,18,3,1800
"549","rhinoceros",2,"beast",1,11,45,"","unaligned",0,21,8,15,2,12,6,2,450
"550","riding-horse",0.25,"beast",1,10,13,"","unaligned",0,16,10,12,2,11,7,2,50
"551","roc",11,"monstrosity",1,15,248,"fly","unaligned",0,28,10,20,3,10,9,4,7200
"552","roper",5,"monstrosity",1,20,93,"","neutral evil",0,18,8,17,7,16,6,3,1800
"554","rug-of-smothering",2,"construct",1,12,33,"","unaligned",0,17,14,10,1,3,1,2,450
"555","rust-monster",0.5,"monstrosity",0,14,27,"","unaligned",0,13,12,13,2,13,6,2,100
"557","saber-toothed-tiger",2,"beast",1,12,52,"","unaligned",0,18,14,15,3,12,8,2,450
"558","sahuagin",0.5,"humanoid (sahuagin)",0,12,22,"swim","lawful evil",0,13,11,12,12,13,9,2,100
"561","salamander",5,"elemental",1,15,90,"","neutral evil",0,18,14,15,11,10,12,3,1800
"562","satyr",0.5,"fey",0,14,31,"","chaotic neutral",0,12,16,11,12,10,14,2,100
"564","scorpion",0,"beast",0,11,1,"","unaligned",0,2,11,8,1,8,2,2,10
"565","scout",0.5,"humanoid (any race)",0,13,16,"","any alignment",0,11,14,12,11,13,11,2,100
"566","sea-hag",2,"fey",0,14,52,"swim","chaotic evil",0,16,13,16,12,12,13,2,450
"567","sea-horse",0,"beast",0,11,1,"swim","unaligned",0,1,12,8,1,10,2,2,10
"569","shadow",0.5,"undead",0,12,16,"","chaotic evil",0,6,14,13,6,10,8,2,100
"571","shadow-demon",4,"fiend (demon)",0,13,66,"fly","chaotic evil",0,1,17,12,14,13,14,2,1100
"573","shambling-mound",5,"plant",1,15,136,"swim","unaligned",0,18,8,16,5,10,5,3,1800
"574","shield-guardian",7,"construct",1,17,142,"","unaligned",0,18,8,18,7,10,3,3,2900
"576","shrieker",0,"plant",0,5,13,"","unaligned",0,1,1,10,1,3,1,2,10
"577","sibriex",18,"fiend (demon)",1,19,150,"fly","chaotic evil",1,10,3,23,25,24,25,6,20000
"578","silver-dragon-wyrmling",2,"dragon",0,17,45,"fly","lawful good",0,19,10,17,12,11,15,2,450
"579","skeleton",0.25,"undead",0,13,13,"","lawful evil",0,10,14,15,6,8,5,2,50
"584","slithering-tracker",3,"ooze",0,14,32,"swim","chaotic evil",0,16,19,15,10,14,11,2,700
"585","smoke-mephit",0.25,"elemental",0,12,22,"fly","neutral evil",0,6,14,12,10,10,11,2,50
"586","solar",21,"celestial",1,21,243,"fly","lawful good",1,26,22,26,25,25,30,7,33000
"589","spectator",3,"aberration",0,14,39,"fly","lawful neutral",0,8,14,14,13,14,11,2,700
"590","specter",1,"undead",0,12,22,"fly","chaotic evil",0,1,14,11,10,10,11,2,200
"603","spider",0,"beast",0,12,1,"","unaligned",0,2,14,8,1,10,2,2,10
"605","spirit-naga",8,"monstrosity",1,15,75,"","chaotic evil",0,18,17,14,16,15,16,3,3900
"608","sprite",0.25,"fey",0,15,2,"fly","neutral good",0,3,18,10,14,13,11,2,50
"609","spy",1,"humanoid (any race)",0,12,27,"","any alignment",0,10,15,10,12,14,16,2,200
"615","steam-mephit",0.25,"elemental",0,10,21,"fly","neutral evil",0,5,11,10,11,10,12,2,50
"618","stirge",0.125,"beast",0,14,2,"fly","unaligned",0,4,16,11,2,8,6,2,25
"620","stone-giant",7,"giant",1,17,126,"","neutral",0,23,15,20,10,12,9,3,2900
"621","stone-giant-dreamwalker",10,"giant (stone giant)",1,18,161,"","chaotic neutral",0,23,14,21,10,8,12,4,5900
"622","stone-golem",10,"construct",1,17,178,"","unaligned",0,22,9,20,3,11,1,4,5900
"624","storm-giant",13,"giant",1,16,230,"swim","chaotic good",0,29,14,20,16,18,18,5,10000
"628","succubus",4,"fiend (shapechanger)",0,15,66,"fly","neutral evil",0,8,17,13,15,12,20,2,1100
"630","swarm-of-bats",0.25,"swarm of Tiny beasts",0,12,22,"fly","unaligned",0,5,15,10,2,12,4,2,50
"632","swarm-of-insects",0.5,"swarm of Tiny beasts",0,12,22,"","unaligned",0,3,13,10,1,7,1,2,100
"633","swarm-of-poisonous-snakes",2,"swarm of Tiny beasts",0,14,36,"swim","unaligned",0,8,18,11,1,10,3,2,450
"634","swarm-of-quippers",1,"swarm of Tiny beasts",0,13,28,"swim","unaligned",0,13,16,9,1,7,2,2,200
"635","swarm-of-rats",0.25,"swarm of Tiny beasts",0,10,24,"","unaligned",0,9,11,9,2,10,3,2,50
"636","swarm-of-ravens",0.25,"swarm of Tiny beasts",0,12,24,"fly","unaligned",0,6,14,8,3,12,6,2,50
"637","swarm-of-rot-grubs",0.5,"swarm of Tiny beasts",0,8,22,"","unaligned",0,2,7,10,1,2,1,2,100
"643","tanarukk",5,"fiend (demon, orc)",0,14,95,"","chaotic evil",0,18,13,20,9,9,9,3,1800
"644","tarrasque",30,"monstrosity (titan)",1,25,676,"","unaligned",1,30,11,30,3,11,11,9,155000
"652","thug",0.5,"humanoid (any race)",0,11,32,"","any non-good alignment",0,15,11,14,10,10,11,2,100
"654","tiger",1,"beast",1,12,37,"","unaligned",0,17,15,14,3,12,8,2,200
"661","treant",9,"plant",1,16,138,"","chaotic good",0,23,8,21,12,16,12,4,5000
"663","tribal-warrior",0.125,"humanoid (any race)",0,12,11,"","any alignment",0,13,11,12,8,11,8,2,25
"664","triceratops",5,"beast",1,13,95,"","unaligned",0,22,9,17,2,11,5,3,1800
"666","troglodyte",0.25,"humanoid (troglodyte)",0,11,13,"","chaotic evil",0,14,10,14,6,10,6,2,50
"667","troll",5,"giant",1,15,84,"","chaotic evil",0,18,13,20,7,9,7,3,1800
"668","twig-blight",0.125,"plant",0,13,4,"","neutral evil",0,6,13,12,4,8,3,2,25
"669","tyrannosaurus-rex",8,"beast",1,13,136,"","unaligned",0,25,10,19,2,12,9,3,3900
"672","umber-hulk",5,"monstrosity",1,18,93,"","chaotic evil",0,20,13,16,9,10,10,3,1800
"673","unicorn",5,"celestial",1,12,67,"","lawful good",1,18,14,15,11,17,16,3,1800
"676","vampire",13,"undead (shapechanger)",0,16,144,"","lawful evil",1,18,18,18,17,15,18,5,10000
"677","vampire-spawn",5,"undead",0,15,82,"","neutral evil",0,16,16,16,11,10,12,3,1800
"683","venerable-shadow",2,"undead",0,13,27,"","chaotic evil",0,6,16,13,6,12,10,2,450
"685","veteran",3,"humanoid (any race)",0,17,58,"","any alignment",0,16,13,14,10,11,10,2,700
"687","violet-fungus",0.25,"plant",0,5,18,"","unaligned",0,3,1,10,1,3,1,2,50
"688","vrock",6,"fiend (demon)",1,15,104,"fly","chaotic evil",0,17,15,18,8,13,8,3,2300
"689","vulture",0,"beast",0,10,5,"fly","unaligned",0,7,10,13,2,12,4,2,10
"691","warhorse",0.5,"beast",1,11,19,"","unaligned",0,18,12,13,2,12,7,2,100
"692","warhorse-skeleton",0.5,"undead",1,13,22,"","lawful evil",0,18,12,15,2,8,5,2,100
"704","water-elemental",5,"elemental",1,14,114,"swim","neutral",0,18,14,18,5,10,8,3,1800
"706","water-weird",3,"elemental",1,13,58,"swim","neutral",0,17,16,13,11,10,10,2,700
"707","weasel",0,"beast",0,13,1,"","unaligned",0,3,16,8,2,12,3,2,10
"708","werebear",5,"humanoid (human, shapechanger)",0,10,135,"","neutral good",0,19,10,17,11,12,12,3,1800
"709","wereboar",4,"humanoid (human, shapechanger)",0,10,78,"","neutral evil",0,17,10,15,10,11,8,2,1100
"710","wererat",2,"humanoid (human, shapechanger)",0,12,33,"","lawful evil",0,10,15,12,11,10,8,2,450
"711","weretiger",4,"humanoid (human, shapechanger)",0,12,120,"","neutral",0,17,15,16,10,13,11,2,1100
"712","werewolf",3,"humanoid (human, shapechanger)",0,11,58,"","chaotic evil",0,15,13,14,10,11,10,2,700
"714","white-dragon-wyrmling",2,"dragon",0,16,32,"fly, swim","chaotic evil",0,14,10,14,5,10,11,2,450
"715","wight",3,"undead",0,14,45,"","neutral evil",0,15,14,16,10,13,15,2,700
"716","wild-dog",0.125,"beast",0,12,5,"","unaligned",0,13,14,12,3,12,7,2,25
"717","wild-dog-alpha",1,"beast",1,12,26,"","unaligned",0,17,15,13,3,12,8,2,200
"718","will-o--wisp",2,"undead",0,19,22,"fly","chaotic evil",0,1,28,10,13,14,11,2,450
"719","winged-kobold",0.25,"humanoid (kobold)",0,13,7,"fly","lawful evil",0,7,16,9,8,7,8,2,50
"721","winter-wolf",3,"monstrosity",1,13,75,"","neutral evil",0,18,13,14,7,12,8,2,700
"722","wolf",0.25,"beast",0,13,11,"","unaligned",0,12,15,12,3,12,6,2,50
"724","worg",0.5,"monstrosity",1,13,26,"","neutral evil",0,16,13,13,7,11,8,2,100
"725","wraith",5,"undead",0,13,67,"fly","neutral evil",0,6,16,16,12,14,15,3,1800
"726","wyvern",6,"dragon",1,13,110,"fly","unaligned",0,19,10,16,5,12,6,3,2300
"727","xorn",5,"elemental",0,19,73,"","neutral",0,17,10,22,11,10,11,3,1800
"736","yeti",3,"monstrosity",1,12,51,"","chaotic evil",0,18,13,16,8,12,7,2,700
"738","young-black-dragon",7,"dragon",1,18,127,"fly, swim","chaotic evil",0,19,14,17,12,11,15,3,2900
"739","young-blue-dragon",9,"dragon",1,18,152,"fly","lawful evil",0,21,10,19,14,13,17,4,5000
"740","young-brass-dragon",6,"dragon",1,17,110,"fly","chaotic good",0,19,10,17,12,11,15,3,2300
"741","young-bronze-dragon",8,"dragon",1,18,142,"fly, swim","lawful good",0,21,10,19,14,13,17,3,3900
"742","young-copper-dragon",7,"dragon",1,17,119,"fly","chaotic good",0,19,12,17,16,13,15,3,2900
"743","young-gold-dragon",10,"dragon",1,18,178,"fly, swim","lawful good",0,23,14,21,16,13,20,4,5900
"744","young-green-dragon",8,"dragon",1,18,136,"fly, swim","lawful evil",0,19,12,17,16,13,15,3,3900
"746","young-red-dragon",10,"dragon",1,18,178,"fly","chaotic evil",0,23,10,21,14,11,19,4,5900
"749","young-silver-dragon",9,"dragon",1,18,168,"fly","lawful good",0,23,10,21,14,11,19,4,5000
"750","young-white-dragon",6,"dragon",1,17,133,"fly, swim","chaotic evil",0,18,10,18,6,11,12,3,2300
"751","yuan-ti-abomination",7,"monstrosity (shapechanger, yuan-ti)",1,15,127,"","neutral evil",0,19,16,17,17,15,18,3,2900
"754","yuan-ti-malison",3,"monstrosity (shapechanger, yuan-ti)",0,12,66,"","neutral evil",0,16,14,13,14,12,16,2,700
"756","yuan-ti-nightmare-speaker",4,"monstrosity (shapechanger, yuan-ti)",0,14,71,"","neutral evil",0,16,14,13,14,12,16,2,1100
"758","yuan-ti-pureblood",1,"humanoid (yuan-ti)",0,11,40,"","neutral evil",0,11,12,11,13,12,14,2,200
"760","zariel",26,"fiend (devil)",1,21,580,"fly","lawful evil",1,27,24,28,26,27,30,8,90000
"761","zombie",0.25,"undead",0,8,22,"","neutral evil",0,13,6,16,3,6,5,2,50
