Content,handle
"The ZetroCard is back. And it’s Zetter than ever.

Get yours at any canvass this weekend. Sign up at the link below.",Zohran Mamdani
Come peep this Curtis Sliwa sandwich 🔥,Curtis Sliwa
"Harlem has always been ignored while its people and culture are displaced. This is a strong, proud community, yet for years the city has stood by as wealthy developers pushed families aside and erased traditions. The voices that built this neighborhood have been silenced, and the",Curtis Sliwa
"Fighting for YOU!!

",Curtis Sliwa
"Thank you to the residents of North Shore Towers in Queens for the chance to share my vision. This is our last chance to make New York City’s future bright instead of letting it sink into disaster with crime, violence, and hate crimes. Mamdani’s agenda is dangerous. I will stand",Curtis Sliwa
"A message from Nancy Sliwa: This horse has died today because of abuse and a city hall that won’t ban horse carriage rides. It’s disgusting. 

The city refuses to ban horse-drawn carriages.

How many more have to suffer before something changes?

We will not let this continue.",Curtis Sliwa
"NEW YORK, I’M LEAVING YOU WITH THIS TODAY:

If I could accomplish all of these things as your governor, imagine what I could do as your mayor.

Get all of your friends who haven’t voted yet and hit the polls, because this election, more than any in the past, EVERY VOTE IS GOING",Andrew Cuomo
"Happy Gurpurab to the Sikh Community of NYC. 

Thank you Baba Makhan Shah Lubana Gurdwara for having me at your beautiful Nagar Kirtan in Richmond Hill.",Zohran Mamdani
"I’m deeply grateful to  for his support and his confidence in my ability to lead this city through these challenging times. Mike Bloomberg has always put results over rhetoric - he understands that leadership is about competence, management, and getting things done,Four months ago I endorsed @AndrewCuomo because I thought his management experience and government know-how made him the best choice for New Yorkers. I still do. And today, with early voting underway, I wanted to reiterate my support for Andrew Cuomo. Being Mayor of New York City",Andrew Cuomo
Arriving at the Village Halloween Parade! We’re out 24-7 till Election Day. Stay safe and enjoy everyone!,Curtis Sliwa
"Democrats for Sliwa!There’s one clear choice here, folks — and that’s @CurtisSliwa. 

He’s the only candidate ready to lead this city back to safety, sanity, and common sense.",Curtis Sliwa
👍,Curtis Sliwa
"I visited Ferry Point Park at Schley Avenue with , where a double homicide recently took place in the parking lot. This is what happens when City Hall handcuffs our police and lets criminals run the streets.

New Yorkers are living in fear because we do not have",Curtis Sliwa
"From the New York Times: “Tara Prinzivalli, 46, a radiation therapist in Eltingville, Staten Island. She said her vote for Curtis Sliwa was rooted in both her half-Jewish identity and her job as a medical professional. Prinzivalli was critical of how Andrew Cuomo handled the",Curtis Sliwa
"Nm, chillin’, you?",Curtis Sliwa
,Curtis Sliwa
"When it comes to , is there anything he believes beyond his own political ambition?",Andrew Cuomo
"Team Sliwa is hitting Steinway Street tonight and Astoria is fired up. We are ready for a safe, clean and affordable NYC. I’m the only candidate in this race with a plan to make it happen starting day one!! No Cuomo. No Mamdani. We vote we win. Early voting starts tomorrow at",Curtis Sliwa
"This is our year, St. John’s!Great catching up with Coach Rick Pitino tonight before the start of the St. John’s season at Madison Square Garden.

The Johnnies aren’t just a college basketball team, they’re a New York City institution. Generation after generation, they’ve represented the grit, hustle, and",Andrew Cuomo
"Today we opened our Brownsville office because I’m running to be the People’s Mayor for All. We had a great turnout and even registered new voters. 

I’m the only candidate in this race focused on real issues while the rest rely on gimmicks and false promises.",Curtis Sliwa
"This morning at Bethany Baptist Church in Brooklyn, I shared a simple truth: God will not test us beyond what we can bear.

NYC faces real challenges: crime, housing, failing schools.  But I know how to get the job done. Together, we will build a safer, fairer, stronger city.",Andrew Cuomo
"No matter your party, this race is about us vs them. Working people in NYC have faced years of decline under Cuomo, Mamdani, and the DSA. They ignored our struggles while the city became more expensive and unsafe. This movement is for all of us, and together we will be heard.NYC Dem pol touts GOP’s Curtis Sliwa for mayor in new campaign ad https://
trib.al/AoMWpSD",Curtis Sliwa
"New York, do you want a city with less police and more crime? #MuslimsAgainstMamdani

#VoteforCuomo #SayNoToZo",Andrew Cuomo
"Today I had the pleasure of visiting with seniors in Chinatown. I was met with such warmth, I can only extend my biggest thank you! Every vote counts, and I will continue to remind every New Yorker of that until the end of Election Day! 

#VoteforCuomo",Andrew Cuomo
"🗽New York! Thank you for your incredible solidarity today, from volunteers to voters. The future of this city only happens when we all come together!

Polling sites close at 9 PM EST, so there are still a few hours left to make your voice heard!

🗳️ Comment below if you’ve",Andrew Cuomo
"You live in Virginia, with all due respect you have no idea what you’re talking about. But go off.",Curtis Sliwa
"Incredible afternoon in Brooklyn — 1 more day of early voting — keep going, NYC!",Andrew Cuomo
Chill,Curtis Sliwa
After we win in November,Zohran Mamdani
,Zohran Mamdani
"Today we had the honor to march in the Pulaski Day Parade! 🇵🇱 We are here every year! 

I also had the honor of joining the NYPD Pulaski Association at their pre-parade party Friday night. 

My wife Nancy is Polish, and I’m proud of my Polish roots and grateful for my close",Curtis Sliwa
"Stop glazing me, Zohran.",Curtis Sliwa
"Brooklyn GOP chair to Andy: 

fuhgeddaboudit.Hey Andy, #FUHGEDDABOUDIT 

Our Chairman @BkLiam has something he wants to say to you! Listen good! #CuomoDropOut",Curtis Sliwa
"We believe that in the wealthiest city in the wealthiest nation in the history of the world, working people deserve a dignified life.

And to the billionaires who think this movement is an existential threat to their corruption of our democracy: you're right.",Zohran Mamdani
"All across the country,  has been building the movement against corporate power and for an economy that works for the working class.

On Saturday, he brings the fight to Brooklyn — just as Trump, Cuomo and the billionaires conspire to stop us.

See you there..@BernieSanders to rally with @ZohranKMamdani on Saturday in Sanders’ home borough of Brooklyn. Part of his “Fighting Oligarchy” tour",Zohran Mamdani
"Appreciate the support from over 1,000 young voters out on Halloween, cheering to save New York! 🎃🗳️

The future of our city is speaking loud and clear about the New York they want to see and now it’s your turn to make a difference.

Early voting ends today, and Election Day is",Andrew Cuomo
As we work to expand affordable housing in communities like mine,Zohran Mamdani
🤦🏻‍♂️,Curtis Sliwa
Read the study by leading transit analyst Charlie Komanoff.,Zohran Mamdani
"I sat down with ⁦⁦⁦⁩ for an extended conversation about where this race stands, what I plan to do for New Yorkers, and why we can’t gamble this city’s future on someone with zero governing experience.

Watch the full interview here:",Andrew Cuomo
"Last night I was proud to join the Bronx Chamber of Commerce Gala. 

Small businesses are the backbone of our city, especially the Bronx. 

I’m running to clean up NYC and make it the best place to live, work, and grow a business.",Curtis Sliwa
"Standing beneath the skylight at Moynihan Train Hall, a project I was proud to help deliver as governor, I’m reminded of what New Yorkers can achieve when we build with vision, discipline, and belief in our future.

New York has always been our nation’s north star — the white",Andrew Cuomo
,Curtis Sliwa
You do not see open air prostitution in elite Manhattan neighborhoods. You see it forced into Corona and Flushing. They want to silence the outer borough families and your concerns. Women are being exploited by predators while families walk to school and work. This is abuse and,Curtis Sliwa
"Both Mamdani and Sanders are telling the crowd not to take Mamdani’s polling lead for granted.

“We cannot allow complacency to infiltrate this movement,” Mamdani says, asking crowd for “more”",Zohran Mamdani
"Curtis Sliwa and I don't agree on much. But we do agree on this: City Hall is not for sale.

You can't say the same for Cuomo or Adams.",Zohran Mamdani
"NYC’s Dept. of Education spends around $10 billion/year on contracts.

Many provide essential services to our schools, yet with over 3,000 active contracts, DOE faces major efficiency challenges.

DOE needs procurement reform.

Yesterday I announced my platform to deliver it.",Zohran Mamdani
"Last year, Andrew Cuomo brought in nearly $5 million for consulting.""",Zohran Mamdani
,Curtis Sliwa
"The choice  made today was not an easy one, but I believe he is sincere in putting the well-being of New York City ahead of personal ambition. We face destructive extremist forces that would devastate our city through incompetence or ignorance, but it is not too",Andrew Cuomo
"This morning I had the privilege of participating in the WE ACT 4 CHANGE / NAACP forum. We talked about the future of New York—how we can make our city safer, more affordable, and ensure opportunity for all.",Andrew Cuomo
"My son Anthony was assaulted by a gang of five last year this month. He’s doing well now. But what happened to him is happening to families all across this city.

No one should have to live in fear of random violence. It’s time to take back our city from lawlessness and make",Curtis Sliwa
"Mamdani and Cuomo are two peas in a pod. 

Cuomo took aim at merit-based education, saying “the city should change admissions at the five schools it controls and then put pressure on state legislators” on the SHSAT. Mamdani is taking aim now, pushing the same agenda. 

When deMamdani Says He Would Phase Out N.Y.C. Gifted Program: https://
nytimes.com/2025/10/02/nyr
egion/mamdani-schools-gifted-and-talented-program.html?unlocked_article_code=1.qU8.2r_Q.kim6W6xpUuvp&smid=url-share
…",Curtis Sliwa
"💰 No dynamic pricing
🧢 Place a cap on resale prices
🏙️ 15% of tickets set aside for local residents at a discount

Add your name here:",Zohran Mamdani
"Thank you Baruch students for joining us! I’m running to make NYC a place where young people can afford to live, enjoy the city safely, and build their future right here.

Thank you  for setting it up!",Curtis Sliwa
,Zohran Mamdani
I think you mean the former governor (who resigned) who lost a primary (because he ran a garbage campaign) to a 33 year old socialist is the spoiler. Enough of this absurd narrative.,Curtis Sliwa
"Siraj Wahhaj is dangerous. This is disturbing to see. Wahhaj tried to sue me years ago and lost. He did it to threaten me for looking into his alleged crimes. 

“A Brooklyn jury took almost no time to decide Curtis Sliwa did not libel an imam who sued the Guardian Angels founder",Curtis Sliwa
,Curtis Sliwa
"I’m going into neighborhoods where the only Republican folks have ever seen is Lincoln on a $5 bill because I’m the only candidate for everyone. 

No matter your party, I’m the one who can make NYC safe and affordable again. 

",Curtis Sliwa
Have you voted yet!? Don’t sit this one out. Make your plan to vote and bring a friend! Find your poll site: ,Curtis Sliwa
,Curtis Sliwa
,Andrew Cuomo
"At the Ferragosto Festival in the Bronx with Team Sliwa, talking with supporters about my plans to make NYC safe and affordable. 🚨Join us: ",Curtis Sliwa
"New York, what an incredible turnout today so far — and we’re not even done yet! 

A special shout-out to my mom, Matilda Cuomo, who’s out there there making sure everyone gets their vote in!

New York, this is our last chance to save this city and shape New York City’s future",Andrew Cuomo
"Today I visited the Darou Salam Islamic Community mosque in the Bronx to listen, learn, and stand in solidarity with a community that is an essential part of New York’s fabric.

Imam Bamba Hedree, Darou Salam Islamic Community, said:
“We thank Andrew Cuomo for visiting our mosque",Andrew Cuomo
"Thank you to all my supporters! We are people powered! Get involved: 

🚨 “Republican candidate @CurtisSliwa raised money from a staggering 4,400 donors – four times as many as Mamdani.” x.com/nypost/status/…",Curtis Sliwa
"Yesterday, I met the brave New Yorkers who thwarted an attempted carjacking in Whitestone.

My message to these heroes was simple: as Mayor, I’ll have your back. 

Andrew Cuomo created this mess, and Zohran Mamdani would be the final nail in the coffin.

Let’s make this city",Curtis Sliwa
"Today I met with the Presidents Coop and Condo Council, including Warren Schreiber, Bob Friedrich, and other leaders, to hear directly about the pressures on coop and condo owners across NYC.

Top concern was Local Law 97 and the unaffordable hit it would bring to unit owners. I",Curtis Sliwa
"New York is a-changin'.

Our final ad just dropped.",Zohran Mamdani
A real pleasure to sit down for an extended conversation on  today. My thanks to the studio audience for the very warm welcome.,Zohran Mamdani
"It’s the first of the month, a day that brings dread and uncertainty for so many struggling tenants. 

And for the 2+ million New Yorkers in stabilized apartments, this month means another rent hike — the fourth in a row under this Mayor.

But change is coming.",Zohran Mamdani
,Zohran Mamdani
"A vote for Cuomo is a vote for Mamdani. He lost to Mamdani, resigned as Governor, and brought us laws like No Cash Bail that victimize people to this day. The polls had Cuomo winning until Primary Day, so this is all noise. Do not attempt to silence my supporters when Cuomo has",Curtis Sliwa
"From  “Walking a single block with Sliwa took 10 minutes, as Black and Latino residents stopped him for selfies, chitchat, and promises to vote for him. One bus driver even stopped in traffic, honked and waved Sliwa on board so he could make a quick pitch to passengers.”",Curtis Sliwa
Check out more on our page!,Curtis Sliwa
That’s actually half cheese half margarita!,Curtis Sliwa
"New York, here’s a little history on why we’ll win this race—last stretch magic courtesy of the good luck truck!

#VoteforCuomo",Andrew Cuomo
"I am PROUD New Yorker. This is the beauty of our city. The fabric we weave is made up of so many unique threads, each different, yet all bound together as New Yorkers.

Thank you for all who came up to support our final fundraising event before Election Day.

Now let’s go out and",Andrew Cuomo
"At the Holocaust Memorial Park’s Annual Remembrance in Sheepshead Bay, we honor survivors and vow never to forget. As mayor, I will mandate Holocaust education in the NYC public school curriculum so every student learns what happened. It is disgraceful that my three children went",Curtis Sliwa
"50 days to victory.

Pledge to vote: 

Sign up to canvass: 

Let’s turn the page on the broken politics of the past and win a city we can actually afford.",Zohran Mamdani
Yes,Curtis Sliwa
"When we vote we win! Join us! Make your plan to VOTE! ! We’re fighting back and we won’t be silenced. We deserve a future in NYC that finally works for the hard working people of this city who power it. We will never surrender, time to save NYC for ALL of",Curtis Sliwa
"Most who joined the Guardian Angels did so to escape gangs. 

That is who deserves support from a  Mayor. NOT the gang members taking innocent lives. Read my plan: ",Curtis Sliwa
US VS THEM,Curtis Sliwa
"I love this city too much to hand it over to political insiders and special interests. 

The architect, Cuomo, and the apprentice, Mamdani, are one and the same. 

I’m the People’s Mayor, and we will win together on November 4th!🚨 BREAKING: Republican NYC mayoral candidate Curtis Sliwa announces he is 'not dropping out under any circumstance'",Curtis Sliwa
"It was a beautiful Sunday afternoon in the Bronx and Harlem at our paper shredding events — we cleared out old junk mail, built community, danced, took family portraits and enjoyed frozen treats (it still felt a lot like summer). Thanks to everyone who joined.",Zohran Mamdani
"I was deeply honored today to stand in my home borough of Queens with Assemblywoman Vivian Cook and receive the endorsement of so many respected faith leaders.

Their support means the world to me, because these are leaders who know the difference between talk and action. They’ve",Andrew Cuomo
,Zohran Mamdani
Sign up for a Big Fall Canvass.,Zohran Mamdani
"It's not a pipe dream if you vote. But you have to be registered by Saturday.

Check your status, find the forms, get a sticker: ",Zohran Mamdani
Facts.,Zohran Mamdani
We're live from Forest Hills Stadium.,Zohran Mamdani
"Pleasant Plains is ground zero for City of Yes overreach. At 65 Uncas St a developer wants to jam multifamily into a block of one and two family homes. 

I am the only candidate suing to stop it. As mayor I will issue an emergency order on Day One to end City of Yes. 

Mamdani",Curtis Sliwa
"Thank you Bay Ridge! We feel the energy tonight. Walking your streets & meeting hardworking New Yorkers who deserve a mayor who fights for them every single day- I will be that Mayor for ALL of us. 

This city belongs to the people not the politicians. Bay Ridge is ready for",Curtis Sliwa
"On Sunday, I visited DEAR NEW YORK, Brandon Stanton's love letter"" to the city he's been documenting for years as ""Humans of New York"" for their family reception with student artists.",Zohran Mamdani
Rolling*,Curtis Sliwa
Cuomo should drop out - not much of a supporter as you don’t even follow us so keep capping 👍,Curtis Sliwa
"New Yorkers deserve a city that works every day, clean, safe, and affordable in every borough. 

With the world here for UNGA and the FIFA World Cup coming next year, we need it now more than ever.

That’s why I’m running for mayor. 

",Curtis Sliwa
True story bro,Curtis Sliwa
"Less than two hours left to vote. Get to the polls! This is our moment. It is us versus the political machine that wrote off working people and tried to shut us out. They are fighting hard because they know we are rising.

Stay in line. Bring your family, your friends, your",Curtis Sliwa
"No time to waste. 

Sign up for a canvass or a phonebank now.",Zohran Mamdani
,Zohran Mamdani
You literally voted for down ballot candidates that support Mamdani…?,Curtis Sliwa
"Cuomo made New York dangerous. Zohran wants to finish the job. We won’t let him.

",Curtis Sliwa
New York is for our workers.,Zohran Mamdani
"Playgrounds and parks across our city are neglected. Rats in strollers, broken equipment, unsafe conditions. I see it everywhere as I travel the boroughs.

Under a Sliwa Administration we’ll dedicate 2% of the budget to Parks, hire more workers and PEP officers, and give NewNYC’s Central Park playground overrun by brazen rats who even raid baby carriages: parents https://
trib.al/EVLimOD",Curtis Sliwa
"I’m grateful for the FDNY and other first responders who rushed to the scene of a partial building collapse in the Bronx this morning. 

No injuries have been reported — praying it stays that way.#Breaking: Emergency crews are responding to reports of a possible gas explosion and partial building collapse in the Bronx. https://
cbsloc.al/4nFxaDJ",Zohran Mamdani
"Appreciated today's conversation on public safety w/ @errollouis at , hosted by .

New Yorkers deserve to be safe — on the subway, in their neighborhoods, everywhere — and I will relentlessly pursue the evidence-based policies to make that our reality.",Zohran Mamdani
Meet the link to canvass.,Zohran Mamdani
East Village,Zohran Mamdani
Thank you Staten Island!,Curtis Sliwa
"They say taxing the wealthy and powerful their fair share is impossible.

They said the same thing about our campaign.",Zohran Mamdani
"Every New Yorker deserves to feel safe going to work, to school, or out to enjoy this city we love. I’m the only candidate for Mayor ready to make New York safe and affordable so working people can stay and thrive here.
Join us 👉 ",Curtis Sliwa
Between June 9,Zohran Mamdani
"Last week, Disney/ABC caved to Trump administration pressure. Millions of Americans helped them find their backbone. 

Whether you watch Jimmy Kimmel or not, today's decision is a victory for free speech.

We've reached out to WABC to reschedule the town hall.#JimmyKimmel returns! 

Disney and ABC will bring the comedian back to its schedule starting Tuesday night. “Last Wednesday, we made the decision to suspend production on the show to avoid further inflaming a tense situation at an emotional moment for our country.  It is a",Zohran Mamdani
https://pbs.twimg.com/media/G4cgNxGXEAAcKl5?format=jpg&name=small,Zohran Mamdani
Upper East Side,Zohran Mamdani
About to go live on !,Zohran Mamdani
Caught today’s  match with Spike Lee in Fort Greene (not a sentence I ever thought I'd get to write).,Zohran Mamdani
"On Staten Island, I joined labor leaders who know what’s at stake in this election. 

We need a mayor who will fight for jobs, safety, and affordability — not radical experiments that risk our city’s future.

Read more here: ",Andrew Cuomo
"Mamdani is too radical for this city. His fake smile, carefully curated videos, and staged interactions while chauffeured around with security are nothing but phony. He can’t hide from what he truly believes. New Yorkers aren’t stupid, and they see right through it.

We’re inNEW: Zohran Mamdani—a proud member of the DSA—has shied away from some of his fringe party’s agenda in his bid for mayor.

But newly-unearthed platforms from the DSA’s NYC chapter paint a picture of the extreme shift toward radical policies if elected. https://
nypost.com/2025/08/28/us-
news/these-are-the-outrageously-radical-dsa-nyc-policies-zohran-mamdani-refuses-to-say-he-rejects/
…",Curtis Sliwa
"Today I was proud to receive the endorsement of Teamsters  — the hardworking men and women who keep our schools, housing, and neighborhoods safe.

There is no greater responsibility than protecting our kids. Yet right now, New York City has 1,400 fewer school safety",Andrew Cuomo
"No, Cuomo** you mean. Who lost. A former Governor who lost to a 33 year old Assemblyman. Seriously? 70% of voters didn’t even rank him on their ballot in primary. None of my supporters would vote for Cuomo, who gave us No Cash Bail, HALT, Raise the Age, killed 15k seniors bc of",Curtis Sliwa
"Every mayoral administration leaves behind successes we can learn from—even if we disagreed with the mayor themselves.

Good to talk a little NYC history on  with  this morning.",Zohran Mamdani
It’s football season in #NYC 🏈! We had an amazing time the Xavier Knights vs Xaverian Clippers game last night! Congrats to Xavier HS for the win!,Curtis Sliwa
"In a city of world-class artists and production crew hunting for the next gig, Andrew Cuomo made a TV ad the same way he wrote his housing policy: with AI.

Then again, maybe a fake Cuomo is better than the real one?",Zohran Mamdani
"We will win. 💪

Over $1.9 MILLION in matching funds secured — all thanks to YOU, the hardworking people of NYC!

The momentum is real. New Yorkers are done with corruption, chaos, and communism.

Chip in today: ",Curtis Sliwa
"Remember, while I am a lifelong Democrat just like my father Mario Cuomo before me, this year I am running on the Fight & Deliver independent ballot line. 

Please make sure that you, your friends, and your family look for me there.",Andrew Cuomo
"Ydanis Rodriguez is the worst DOT commissioner we’ve ever had, so it’s no surprise he’s backing the worst mayoral candidate we’ve ever had (after Bill de Blasio and Andy Cuomo of course).

Vote for me and I’ll clean up DOT and this city by putting real professionals in charge whoNew: NYC Transportation Commissioner Ydanis Rodriguez — a longtime political ally to Mayor Adams who was crucial in driving Hispanic turnout for him in the 2021 election — is expected to endorse Zohran Mamdani in the 2025 race for City Hall today. https://
nydailynews.com/2025/10/26/nyc
-mayor-adams-transportation-head-ydanis-rodriguez-endorsing-zohran-mamdani-sources/
…",Curtis Sliwa
"Thank you to everyone in Harlem and the Bronx who came out for paper shredding, DJs, ice cream, dancing, sunshine, community, and joy this afternoon! 

Grateful to , , my look-alikes Diego and Devesh, and everyone else who helped  make it happen!",Zohran Mamdani
"🚨Watch now: Meet Donna Johnson, who lost her parents after Cuomo forced COVID patients into nursing homes, killing 15,000 seniors. He never apologized, but instead lies and harasses the families who want justice. Cuomo is failed, dangerous, and unelectable.",Curtis Sliwa
"The same career politicians who destroyed safety, pushed out working people, and handed your city to their wealthy friends now want you to trust them again. They have no shame and no respect for you. Cuomo and Mamdani are equally dangerous. They want you out. But I’m standing in",Curtis Sliwa
"Don’t tell us another New York City is not possible — we are already winning  it."" - tenant organizer Dorca Reynoso""",Zohran Mamdani
VICTORY!,Curtis Sliwa
"The horrific attack outside a synagogue in Manchester on Yom Kippur - the holiest day of the Jewish calendar - is a vile act of hate that shakes us all to our core. On a day of atonement, prayer, and reflection, Jewish families should have been safe in their house of worship.",Andrew Cuomo
Spoke with young journalists from  this morning on the bus on my way to Staten Island. We spoke about the race and the importance of young people getting involved with politics.,Curtis Sliwa
"I’ve said it before and I’ll say it again:

A vote for Sliwa is a vote for Mamdani. 

And here’s the proof: just this past March, Sliwa was openly supporting Mamdani to be the elected Democratic representative.

…So, is Sliwa staying in this race just to help Mamdani win?

We",Andrew Cuomo
"Donald Trump's pick for Mayor is Andrew Cuomo. That much is clear. 

But it's not because that will be good for New Yorkers. He knows it'll be good for him.",Zohran Mamdani
"Thank you Middle Village for the incredible reception! 

With your support we’re going to win. 

👉 ",Curtis Sliwa
"I just voted to save our city.

Now it’s your turn — get out there and vote!

Find your poll site: ",Curtis Sliwa
"“They’re right” - Cuomo and Mamdani defunded police. New Yorkers paid the price. I will always support our brave NYPD, to keep all communities victimized by crime safe. A vote for Cuomo is a vote for Mamdani.",Curtis Sliwa
"🚨 Early Voting Begins Tomorrow 🚨 The future of our city is in our hands. For years we’ve seen corruption, greed, and working people pushed out while the elite get richer. 

I’m running to make this city work for everyone so people can afford to live here, feel safe here, and",Curtis Sliwa
"With antisemitism on the rise & Jewish New Yorkers feeling under threat, I am honored to receive the endorsement of Crown Heights United PAC & humbled by the trust its leaders and the broader Jewish community have placed in me. I will not let you down.",Andrew Cuomo
"It shouldn’t go unnoticed that  - who still refuses to condemn the phrase ‘globalize the intifada’ (widely understood to mean death to Jews) - is running around during the High Holy Days as part of a PR stunt, but has yet to condemn the deadly Yom Kippur terror",Andrew Cuomo
"Two names, one mask: Mamdani = Cuomo. 

New Yorkers know this.

Vote Curtis Sliwa and end the horror show.",Curtis Sliwa
"I was honored to stand with Local 3 Queens today — the men and women who built the greatest city in the world. Together, we will rebuild it stronger: safe streets, affordable housing, good jobs, and a city that works for working people.",Andrew Cuomo
"“Among other plans, he wants to hire more cops, rein in developers, slash taxes on small businesses, raise taxes on Madison Square Garden, audit city agencies, roll back bail reform, double the parks budget, and crack down on cruelty to animals.”",Curtis Sliwa
"The momentum is here, and the choice is clear.",Curtis Sliwa
"The momentum is behind US. 

It’s US vs THEM.

Early voting starts tomorrow, Saturday, October 25th, and runs through Sunday, November 2nd. 

Make your plan to vote early and let’s take our city back. Let’s save New York.",Curtis Sliwa
For a New York you can afford.,Zohran Mamdani
True,Curtis Sliwa
*7 billion.,Curtis Sliwa
Read the full plan here. ,Zohran Mamdani
That’s a comparison we reject wholeheartedly…,Curtis Sliwa
"The death of Charlie Kirk is a horrific reminder of how dangerous and normalized political violence has become in America. 

We must stop celebrating division and start healing our country.

Today I pray for Charlie‘s family and for all who loved him. And I pray for this nation.",Andrew Cuomo
"A great part of my job is meeting all of you, the people of New York, and hearing your concerns and hopes for our great city. Grateful for the Republican support like this and for everyone coming together right now to save NYC.

I’m Ready On Day One! 

#VoteforCuomo #SayNoToZo",Andrew Cuomo
👏👏👏,Curtis Sliwa
"NYC faces gun violence despite “strict” gun laws. We saw a horrifying example of this last night in Times Square.

I’ll reinstate the NYPD’s Anti-Crime unit and crack down on gangs and gun traffickers.

Zohran Mamdani has called for defunding the NYPD and DELETING the gang",Curtis Sliwa
Oh god. You have 0% idea what ur talking about based on 0% things I’ve fought for. With all due respect: Stop being ignorant and focus on where you live. What a stupid statement.,Curtis Sliwa
"UNTIL IT’S DONE, Ep. 3: Earl Manigault

When he stepped onto the court, the world watched. No one dunked harder or jumped higher. But the GOAT never made it pro.

There are countless NYC stories like his. Brilliant talents lost to drugs or crime. It doesn’t have to be this way.",Zohran Mamdani
"To all Republicans: New York City’s future is on the line in this election. A vote for Sliwa in this race is a vote for Mamadani.

Thank you  for having me on.",Andrew Cuomo
"The subway system is no place to call home.

On Day 1 when I become mayor, I will immediately issue an executive order to reinstate the NYPD Homeless Outreach Unit and Shelter Security. 

These critical services were stripped from us by Zohran Mamdani’s mentor, Bill de Blasio, in",Curtis Sliwa
"Today I had the privilege of addressing congregants at the Persian Congregation of Park East, The Kenisah, during Rosh Hashanah services.

The spirit of Rosh Hashanah reminds us of renewal and hope, abundance and resilience. That is the spirit we need to carry forward into this",Andrew Cuomo
No- Trump never said that. Trump wanted Cuomo to resign. Cuomo also said at the debate he’d fight Trump. Cuomo never commended him for returning the hostages. You can support who you feel is best but this propaganda is an insult to the intelligence of New Yorkers. A vote for,Curtis Sliwa
"✅ freeze the rent
✅ 200k new affordable homes 
✅ make it easier to build",Zohran Mamdani
"An ER pediatrician, just heading home from work, was shoved onto the tracks at 50th Street. Miraculously he survived. This is the reality for too many New Yorkers. You deserve to feel safe going to work. We need more police and effective protection for our commuters now. Read my",Curtis Sliwa
,Zohran Mamdani
"👍While on NYC’s slowest bus, Mamdani says he’d as mayor bike, ride public transit to work https://
trib.al/EHKmwR3",Zohran Mamdani
"We’re hitting the streets of Staten Island! Be part of the team — volunteer, go door to door, and help us win. Sign up today at ",Curtis Sliwa
"Great to join  Mayoral forum to discuss the future of our City and what’s at stake this electionCuomo says he wants to rebuild Rikers Island into a 'state-of-the-art' new jail https://
crainsnewyork.com/politics-polic
y/andrew-cuomo-wants-rebuild-not-close-rikers-island?utm_term=Autofeed&utm_campaign=aware%3Aupr%3Apgv%3Aall%3Aalways&utm_medium=soc-own&utm_content=twt%3Aread&utm_source=Twitter#Echobox=1759936967
…",Andrew Cuomo
,Curtis Sliwa
"Cuomo and Adams are on an independent line.. listed under my independent line. If the Republican vote is split, city council candidates are affected. Don’t buy into this absurd narrative.",Curtis Sliwa
 x.com/zohrankmamdani…,Zohran Mamdani
,Curtis Sliwa
"In 2023, we won the Build Public Renewables Act — a groundbreaking law empowering NYS to speed up the clean energy transition and lower your bills with publicly-owned power.

Today is the deadline to tell  we need a plan for 15 GW by 2030. Take urgent action below.",Zohran Mamdani
Great to join  on  to talk about my plan to make NYC better than ever before.,Andrew Cuomo
"From the crews who built the Second Avenue Subway, a project postponed for 100 years, to the MTA workers who keep this city moving every single day, New York runs on the people who show up.

We honor the workers who build our city, protect it, and power it.
And we will always",Andrew Cuomo
"Day 3 of early voting starts at 9AM tomorrow‼️🚨. Our volunteers are everywhere bringing energy and hope to every corner of the city. This is our moment to stand up for the city we love. Bring your friends, your family, your neighbors. Let’s show New York what working people can",Curtis Sliwa
"No matter your political party, we can’t afford someone who wants you to move out of NYC because of what you believe. A leader works with everyone and unites people. They don’t force people out. A vote for Cuomo is a vote for Mamdani. Join us: ",Curtis Sliwa
A Vote for Silwa is a Vote for Mamdani… #VoteforCuomo,Andrew Cuomo
"This morning I joined the congregants of First Central Baptist Church in Staten Island for Rev. Demetrius Carolina’s birthday 🎂 

Faith communities like this are the heart of our city - where people come together to serve, uplift, and inspire one another.",Andrew Cuomo
"Over Andrew Cuomo's more than decade in power, homelessness rose, inequality widened, public services were starved of funding, working people were priced out of this city and he resigned in disgrace.

That's the experience he won't account for tonight.",Zohran Mamdani
"I appreciated the opportunity to meet with neighbors in East Elmhurst, Corona and LeFrak City last night at  as we continue to build this movement to make our city affordable.",Zohran Mamdani
"After another year of witnessing an unprecedented surge in acts of Jew hatred, many are concerned with their safety and their future in our great city. We must and will do better in the new year. God willing as your next mayor, my administration will work tirelessly to prioritize",Curtis Sliwa
"I deeply appreciated last night’s in-depth conversation on “Centering Black Women in the 2025 Mayoral Election,” hosted by The Links, Incorporated in Harlem.",Zohran Mamdani
🚨17 Days till Early Voting! Make your plan to vote! ,Curtis Sliwa
"30 minutes to go ⬇️⬇️⬇️We want YOU to help us register thousands of New Yorkers to vote by redesigning the iconic I VOTED sticker.

But you need to move fast. Submit your design at the link below by Friday at 6pm - and get ready to pick a winner this weekend.",Zohran Mamdani
